Projects and Total Credits:

rosetta@home, Network RAC: 608049.88, AvgRac: 2252.04
Docking, Network RAC: 608049.88, AvgRac: 3685.15
malariacontrol.net, Network RAC: 608049.88, AvgRac: 6196.02
World Community Grid, Network RAC: 608049.88, AvgRac: 7276.93
Asteroids@home, Network RAC: 608049.88, AvgRac: 11543.84
SETI@home, Network RAC: 608049.88, AvgRac: 17404.75
Milkyway@Home, Network RAC: 608049.88, AvgRac: 48763.52
Constellation, Network RAC: 608049.88, AvgRac: 31788
Cosmology@Home, Network RAC: 608049.88, AvgRac: 24514.43
Einstein@Home, Network RAC: 608049.88, AvgRac: 36755.23
Enigma@Home, Network RAC: 608049.88, AvgRac: 0
ibercivis, Network RAC: 608049.88, AvgRac: 45810.05
LHC@home 1.0, Network RAC: 608049.88, AvgRac: 5357.95
Test4Theory@Home, Network RAC: 608049.88, AvgRac: 4525.67
MindModeling@Beta, Network RAC: 608049.88, AvgRac: 12080.88
NFS@Home, Network RAC: 608049.88, AvgRac: 13584.17
NumberFields@home, Network RAC: 608049.88, AvgRac: 6485.56
OProject@Home, Network RAC: 608049.88, AvgRac: 4962.79
PrimeGrid, Network RAC: 608049.88, AvgRac: 8740.59
SAT@home, Network RAC: 608049.88, AvgRac: 4377.71
simap, Network RAC: 608049.88, AvgRac: 0
Collatz Conjecture, Network RAC: 608049.88, AvgRac: 5840.7
SimOne@home, Network RAC: 608049.88, AvgRac: 8655.21
SubsetSum@Home, Network RAC: 608049.88, AvgRac: 0

Individual Researcher Results:

RS_ONE_CPID#0: Magnitude1: 74.81, Magnitude2: 12, Mag1Balance:  $27231.93,Mag1AvgReward: $74.61, Mag2AvgReward: $11.96
RS_LOTS_OF_CPIDS#1: Magnitude1: 0, Magnitude2: 0, Mag1Balance:  $87.73,Mag1AvgReward: $.24, Mag2AvgReward: $.23
RS_NORMAL#2: Magnitude1: 132.89, Magnitude2: 16.66, Mag1Balance:  $48903.67,Mag1AvgReward: $133.98, Mag2AvgReward: $16.80
RS_NORMAL#3: Magnitude1: 199, Magnitude2: 16.66, Mag1Balance:  $72885.58,Mag1AvgReward: $199.69, Mag2AvgReward: $16.72
RS_NORMAL#4: Magnitude1: 166.11, Magnitude2: 20.82, Mag1Balance:  $53056.49,Mag1AvgReward: $145.36, Mag2AvgReward: $18.22
RS_NORMAL#5: Magnitude1: 132.89, Magnitude2: 16.66, Mag1Balance:  $48872.11,Mag1AvgReward: $133.90, Mag2AvgReward: $16.88
RS_NORMAL#6: Magnitude1: 297.03, Magnitude2: 12.49, Mag1Balance:  $109410.89,Mag1AvgReward: $299.76, Mag2AvgReward: $12.62
RS_NORMAL#7: Magnitude1: 132.89, Magnitude2: 16.66, Mag1Balance:  $48770.78,Mag1AvgReward: $133.62, Mag2AvgReward: $16.75
RS_NORMAL#8: Magnitude1: 396.04, Magnitude2: 16.66, Mag1Balance:  $144658.41,Mag1AvgReward: $396.32, Mag2AvgReward: $16.69
RS_NORMAL#9: Magnitude1: 79.84, Magnitude2: 16.66, Mag1Balance:  $29281.43,Mag1AvgReward: $80.22, Mag2AvgReward: $16.74
RS_NORMAL#10: Magnitude1: 99.67, Magnitude2: 12.49, Mag1Balance:  $36677.75,Mag1AvgReward: $100.49, Mag2AvgReward: $12.60
RS_ONE_CPID#11: Magnitude1: 166.11, Magnitude2: 19.99, Mag1Balance:  $52923.60,Mag1AvgReward: $145.00, Mag2AvgReward: $17.45
RS_NORMAL#12: Magnitude1: 166.11, Magnitude2: 20.82, Mag1Balance:  $52857.16,Mag1AvgReward: $144.81, Mag2AvgReward: $18.15
RS_ONE_CPID#13: Magnitude1: 298.51, Magnitude2: 24.99, Mag1Balance:  $80848.26,Mag1AvgReward: $221.50, Mag2AvgReward: $18.55
RS_NORMAL#14: Magnitude1: 99.75, Magnitude2: 16.66, Mag1Balance:  $33466.33,Mag1AvgReward: $91.69, Mag2AvgReward: $15.31
RS_NORMAL#15: Magnitude1: 99.75, Magnitude2: 16.66, Mag1Balance:  $36558.60,Mag1AvgReward: $100.16, Mag2AvgReward: $16.73
RS_NORMAL#16: Magnitude1: 149.25, Magnitude2: 12.49, Mag1Balance:  $54676.61,Mag1AvgReward: $149.80, Mag2AvgReward: $12.54
RS_ONE_CPID#17: Magnitude1: 99.8, Magnitude2: 20.82, Mag1Balance:  $36467.07,Mag1AvgReward: $99.91, Mag2AvgReward: $20.85
RS_ONE_CPID#18: Magnitude1: 99.8, Magnitude2: 19.22, Mag1Balance:  $36526.95,Mag1AvgReward: $100.07, Mag2AvgReward: $19.28
RS_NORMAL#19: Magnitude1: 74.81, Magnitude2: 12.49, Mag1Balance:  $27581.06,Mag1AvgReward: $75.56, Mag2AvgReward: $12.62
RS_ONE_CPID#20: Magnitude1: 199, Magnitude2: 15.99, Mag1Balance:  $72636.82,Mag1AvgReward: $199.00, Mag2AvgReward: $15.99
RS_NORMAL#21: Magnitude1: 74.81, Magnitude2: 12.49, Mag1Balance:  $27531.18,Mag1AvgReward: $75.43, Mag2AvgReward: $12.60
RS_NORMAL#22: Magnitude1: 99.67, Magnitude2: 12.49, Mag1Balance:  $36943.53,Mag1AvgReward: $101.22, Mag2AvgReward: $12.69
RS_ONE_CPID#23: Magnitude1: 99.67, Magnitude2: 12.49, Mag1Balance:  $36843.86,Mag1AvgReward: $100.94, Mag2AvgReward: $12.65
